 "name" , "platformName" , "platformUrl" , "numberOfSeason" ,
 "There's Room in the Back" , "América Televisión" , "http://www.americatv.com.pe/" , "9" ,
 "There's Room in the Back" , "América Televisión" , "http://www.americatv.com.pe" , "9" ,
 "There's Room in the Back" , "América Televisión" , "http://www.americatv.com.pe/" , "9" ,
 "There's Room in the Back" , "América Televisión" , "http://www.americatv.com.pe" , "9" ,
 "WWE Raw Diva Search" , "World Wrestling Entertainment, Inc." , "https://dspace.library.uu.nl/handle/1874/399263%7Ctitle=Wresting" , "5" ,
 "WWE Raw Diva Search" , "World Wrestling Entertainment, Inc." , "https://atrium.lib.uoguelph.ca/xmlui/handle/10214/8022%7Ctitle=WWE:" , "5" ,
 "Raw Divas Search" , "World Wrestling Entertainment, Inc." , "https://dspace.library.uu.nl/handle/1874/399263%7Ctitle=Wresting" , "5" ,
 "Raw Divas Search" , "World Wrestling Entertainment, Inc." , "https://atrium.lib.uoguelph.ca/xmlui/handle/10214/8022%7Ctitle=WWE:" , "5" ,
 "Diva Search" , "World Wrestling Entertainment, Inc." , "https://dspace.library.uu.nl/handle/1874/399263%7Ctitle=Wresting" , "5" ,
 "Diva Search" , "World Wrestling Entertainment, Inc." , "https://atrium.lib.uoguelph.ca/xmlui/handle/10214/8022%7Ctitle=WWE:" , "5" ,
 "The Voronins" , "STS" , "https://www.youtube.com/channel/UCdmauIL-k-djcct-yMrf82A" , "24" ,
 "We Are Five" , "Globoplay" , "https://globoplay.globo.com/" , "1" ,
 "WWE Raw Diva Search" , "United Paramount Network" , "https://web.archive.org/web/20050427002755/http:/www.upn.com/" , "5" ,
 "WWE Raw Diva Search" , "United Paramount Network" , "https://www.retrojunk.com/commercial/show/26351/upn-united-paramount-network-coming-january-1995" , "5" ,
 "Diva Search" , "United Paramount Network" , "https://web.archive.org/web/20050427002755/http:/www.upn.com/" , "5" ,
 "Diva Search" , "United Paramount Network" , "https://www.retrojunk.com/commercial/show/26351/upn-united-paramount-network-coming-january-1995" , "5" ,
 "Raw Divas Search" , "United Paramount Network" , "https://web.archive.org/web/20050427002755/http:/www.upn.com/" , "5" ,
 "Raw Divas Search" , "United Paramount Network" , "https://www.retrojunk.com/commercial/show/26351/upn-united-paramount-network-coming-january-1995" , "5" ,
 "Raw Divas Search" , "USA Network" , "https://www.usanetwork.com/" , "5" ,
 "Raw Divas Search" , "USA Network" , "https://www.usanetwork.com/%7Cusanetwork.com" , "5" ,
 "Diva Search" , "USA Network" , "https://www.usanetwork.com/" , "5" ,
 "Diva Search" , "USA Network" , "https://www.usanetwork.com/%7Cusanetwork.com" , "5" ,
 "WWE Raw Diva Search" , "USA Network" , "https://www.usanetwork.com/" , "5" ,
